Order,Dataset,Variable,Origin,Pages
5,AE,AESPID,CRF,21
6,AE,AETERM,CRF,21
10,AE,AESEV,CRF,21
11,AE,AESER,CRF,21
12,AE,AEACN,CRF,21
13,AE,AEREL,CRF,21
14,AE,AESTDTC,CRF,21
15,AE,AEENDTC,CRF,21
18,AE,AEENRF,CRF,21
5,CM,CMTRT,CRF,9 22
8,CM,CMCAT,CRF,9 22
9,CM,CMINDC,CRF,9 22
12,CM,CMDOSTXT,CRF,9 22
13,CM,CMDOSU,CRF,9 22
14,CM,CMDOSFRQ,CRF,22
15,CM,CMROUTE,CRF,22
16,CM,CMSTDTC,CRF,9 22
17,CM,CMENDTC,CRF,9 22
20,CM,CMENRF,CRF,22
6,DA,DATEST,CRF,19
7,DA,DAORRES,CRF,19
8,DA,DAORRESU,CRF,19
15,DA,DADTC,CRF,19
4,DM,SUBJID,CRF,3
7,DM,SITEID,CRF,3
8,DM,BRTHDTC,CRF,6
11,DM,SEX,CRF,6
12,DM,RACE,CRF,6
13,DM,ETHNIC,CRF,6
5,DS,DSTERM,CRF,6 16 18
6,DS,DSDECOD,CRF,6 16 18
9,DS,DSSTDTC,CRF,6 16 18
7,EG,EGTEST,CRF,12
9,EG,EGORRES,CRF,12
10,EG,EGORRESU,CRF,12
20,EG,EGDTC,CRF,12
8,EX,EXDOSFRM,CRF,20
9,EX,EXSTDTC,CRF,20
10,EX,EXENDTC,CRF,20
6,IE,IETEST,CRF,4 5
7,IE,IECAT,CRF,4 5
8,IE,IEORRES,CRF,4 5
12,IE,IEDTC,CRF,4 5
5,MH,MHTERM,CRF,7 8
6,MH,MHCAT,CRF,7 8
10,MH,MHDTC,CRF,7 8
11,MH,MHSTDTC,CRF,7 8
12,MH,MHENRF,CRF,8
6,PE,PETEST,CRF,10
7,PE,PEORRES,CRF,10
12,PE,PEDTC,CRF,10
7,SC,SCORRES,CRF,3 6
9,SC,SCDTC,CRF,6
6,VS,VSTEST,CRF,11
7,VS,VSPOS,CRF,11
8,VS,VSORRES,CRF,11
9,VS,VSORRESU,CRF,11
17,VS,VSDTC,CRF,11
